id,scale,region,locality,supply,population,bidding_units,opening_price,expected_value,sd_value_narrow,sd_value_wide,is_high_demand,,,,,,,,,,
132,national,GL,6,10,1069729,590,2950000,5249143,109918,1749714,0,,,,,,,,,,
133,national,SE,32,10,1039627,1100,5500000,7216601,128861,2405534,0,,,,,,,,,,
134,national,NE,4,10,1025620,1100,5500000,5967055,124951,1989018,0,,,,,,,,,,
135,national,GL,15,8,1023081,180,900000,4682660,98056,1560887,0,,,,,,,,,,
136,national,GL,15,2,1023081,180,900000,4678014,97958,1559338,0,,,,,,,,,,
137,national,GL,16,10,1019932,370,1850000,5306245,144356,1768748,0,,,,,,,,,,
138,national,SW,8,10,969078,660,3300000,8834725,185001,2944908,0,,,,,,,,,,
139,national,GL,7,8,954029,23,115000,4176250,113615,1392083,0,,,,,,,,,,
140,national,SE,13,10,940274,430,2150000,5724594,137712,1908198,0,,,,,,,,,,
141,national,GL,13,10,922885,760,3800000,4298037,103395,1432679,0,,,,,,,,,,
142,national,SE,11,10,897121,330,1650000,4390321,91934,1463440,0,,,,,,,,,,
143,national,GL,11,10,866423,480,2400000,6261954,150639,2087318,0,,,,,,,,,,
144,national,NE,2,10,861286,910,4550000,4217456,101456,1405819,0,,,,,,,,,,
145,national,FW,6,10,859318,150,750000,2213138,53240,737713,0,,,,,,,,,,
146,national,SE,47,10,837142,690,3450000,7743236,114630,2581079,0,,,,,,,,,,
147,national,SE,14,10,801642,240,1200000,3124302,94938,1041434,0,,,,,,,,,,
148,national,SW,16,4,800647,290,1450000,5485806,149241,1828602,0,,,,,,,,,,
149,national,SE,21,10,797154,360,1800000,3176861,96535,1058954,0,,,,,,,,,,
150,national,SW,4,10,794125,290,1450000,3435156,50854,1145052,0,,,,,,,,,,
151,national,FW,3,10,786501,180,900000,3078769,64470,1026256,0,,,,,,,,,,
152,national,NE,3,10,784594,290,1450000,3023321,91869,1007774,0,,,,,,,,,,
153,national,SE,35,10,781289,430,2150000,5528959,115777,1842986,0,,,,,,,,,,
154,national,SE,29,10,780833,230,1150000,2301464,34071,767155,0,,,,,,,,,,
155,national,P,29,10,769108,520,2600000,4701426,142862,1567142,0,,,,,,,,,,
156,national,GL,13,10,767362,520,2600000,2784729,75758,928243,0,,,,,,,,,,
157,national,SE,25,10,756008,340,1700000,3598520,109348,1199507,0,,,,,,,,,,
158,national,GL,7,8,748680,130,650000,2929639,89023,976546,0,,,,,,,,,,
159,national,SE,3,10,724956,590,2950000,2786855,67041,928952,0,,,,,,,,,,
160,national,SE,43,10,703499,320,1600000,3085841,55101,1028614,0,,,,,,,,,,
161,national,SE,22,10,685317,310,1550000,2666496,72542,888832,0,,,,,,,,,,
162,national,SE,3,10,684856,560,2800000,3170267,66386,1056756,0,,,,,,,,,,
163,national,ME,2,8,678674,710,3550000,3575944,86024,1191981,0,,,,,,,,,,
164,national,SE,44,10,646895,290,1450000,2783722,58292,927907,0,,,,,,,,,,
165,national,SE,30,10,646279,240,1200000,2395686,35465,798562,0,,,,,,,,,,
166,national,RM,2,10,645613,440,2200000,3901318,81694,1300439,0,,,,,,,,,,
167,national,GL,2,10,644865,150,750000,1208332,25303,402777,0,,,,,,,,,,
168,national,SE,27,10,638768,230,1150000,2343794,56383,781265,0,,,,,,,,,,
169,national,SW,12,10,638395,670,3350000,2885003,78486,961668,0,,,,,,,,,,
170,national,SE,51,10,631120,190,950000,805778,14388,268593,0,,,,,,,,,,
171,national,SE,22,10,620049,180,900000,840065,15000,280022,0,,,,,,,,,,
172,national,P,11,10,617663,420,2100000,2094486,50385,698162,0,,,,,,,,,,
173,national,SE,47,10,609299,220,1100000,2158457,31953,719486,0,,,,,,,,,,
174,national,SE,31,10,599462,100,500000,911198,27689,303733,0,,,,,,,,,,
175,national,SE,36,10,571905,14,70000,538475,9615,179492,0,,,,,,,,,,
176,national,P,7,10,564245,210,1050000,3232089,77752,1077363,0,,,,,,,,,,
177,national,RM,1,10,562340,380,1900000,1991670,41706,663890,0,,,,,,,,,,
178,national,SE,49,8,556408,590,2950000,2091399,56896,697133,0,,,,,,,,,,
179,national,RM,2,10,552455,380,1900000,3036664,63588,1012221,0,,,,,,,,,,
180,national,SE,16,10,552150,130,650000,2211115,53191,737038,0,,,,,,,,,,
181,national,GL,17,10,548017,250,1250000,1744110,41957,581370,0,,,,,,,,,,
182,national,NE,3,10,543767,13,65000,1773445,31667,591148,0,,,,,,,,,,
183,national,P,1,10,543000,370,1850000,3276023,78809,1092008,0,,,,,,,,,,
184,national,SE,36,10,536809,240,1200000,1813846,43634,604615,0,,,,,,,,,,
185,national,SE,32,10,533539,440,2200000,1688965,40630,562988,0,,,,,,,,,,
186,national,SE,7,10,527374,240,1200000,2206529,39400,735510,0,,,,,,,,,,
187,national,SE,23,10,526621,290,1450000,1735602,41752,578534,0,,,,,,,,,,
188,national,ME,11,8,513834,12,60000,1765526,42472,588509,0,,,,,,,,,,
189,national,SE,53,10,512830,230,1150000,1578258,37967,526086,0,,,,,,,,,,
190,national,SE,37,9,512200,150,750000,1864963,44864,621654,0,,,,,,,,,,
191,national,GL,1,10,509762,540,2700000,2486103,36804,828701,0,,,,,,,,,,
192,national,SE,19,10,501771,340,1700000,1858171,44701,619390,0,,,,,,,,,,
193,national,GL,8,10,496850,340,1700000,1648589,50096,549530,0,,,,,,,,,,
194,national,FW,10,10,496571,85,425000,2175648,66111,725216,0,,,,,,,,,,
195,national,SE,26,10,492213,150,750000,1615561,33830,538520,0,,,,,,,,,,
196,national,ME,12,8,490867,84,420000,1534696,22719,511565,0,,,,,,,,,,
197,national,ME,12,1,490867,84,420000,1534696,22719,511565,0,,,,,,,,,,
198,national,GL,18,10,488073,330,1650000,3076413,64420,1025471,0,,,,,,,,,,
199,national,GL,17,10,486730,180,900000,1659873,39930,553291,0,,,,,,,,,,
200,national,FW,8,10,482135,330,1650000,1889527,57417,629842,0,,,,,,,,,,
201,national,GL,4,10,476174,390,1950000,1684042,35264,561347,0,,,,,,,,,,
202,national,SW,2,9,475024,320,1600000,2150293,38396,716764,0,,,,,,,,,,
203,national,GL,9,10,474251,11,55000,1628783,49494,542928,0,,,,,,,,,,
204,national,SE,17,10,472241,140,700000,1648395,44845,549465,0,,,,,,,,,,
205,national,GL,2,10,471823,140,700000,1491468,45321,497156,0,,,,,,,,,,
206,national,FW,9,10,471221,140,700000,1844193,56039,614731,0,,,,,,,,,,
207,national,SE,35,10,468358,210,1050000,1855781,38860,618594,0,,,,,,,,,,
208,national,SW,15,10,467429,11,55000,1725030,36122,575010,0,,,,,,,,,,
209,national,SW,18,10,464704,320,1600000,1415586,38511,471862,0,,,,,,,,,,
210,national,GL,17,10,463800,210,1050000,1687762,51286,562587,0,,,,,,,,,,
211,national,SW,13,10,460666,11,55000,1561931,27890,520644,0,,,,,,,,,,
212,national,ME,12,10,454792,480,2400000,1436564,30082,478855,0,,,,,,,,,,
213,national,GL,19,10,452434,370,1850000,1521358,22522,507119,0,,,,,,,,,,
214,national,NE,5,10,452191,130,650000,1598252,23660,532751,0,,,,,,,,,,
215,national,SE,6,10,443880,100,500000,1229712,33454,409904,0,,,,,,,,,,
216,national,SE,49,9,438705,460,2300000,1909964,58038,636655,0,,,,,,,,,,
217,national,SE,49,1,438705,460,2300000,1952107,34857,650702,0,,,,,,,,,,
218,national,P,12,10,435203,300,1500000,1358352,24255,452784,0,,,,,,,,,,
219,national,FW,2,10,430256,350,1750000,1609470,28739,536490,0,,,,,,,,,,
220,national,NE,4,10,427275,350,1750000,1407234,25128,469078,0,,,,,,,,,,
221,national,SW,19,10,423195,350,1750000,1297502,27170,432501,0,,,,,,,,,,
222,national,SE,46,10,422947,190,950000,1300514,39518,433505,0,,,,,,,,,,
223,national,SE,39,10,420413,230,1150000,1839722,32850,613241,0,,,,,,,,,,
224,national,ME,3,8,419355,10,50000,1533873,22707,511291,0,,,,,,,,,,
225,national,FW,8,10,412316,280,1400000,1662845,34820,554282,0,,,,,,,,,,
226,national,SE,3,10,411066,190,950000,1440839,34661,480280,0,,,,,,,,,,
227,national,P,18,10,405037,220,1100000,1237774,22102,412591,0,,,,,,,,,,
228,national,SE,35,10,398071,220,1100000,2314149,70320,771383,0,,,,,,,,,,
229,national,SW,18,10,397075,330,1650000,1598948,33482,532983,0,,,,,,,,,,
230,national,GL,20,10,395357,320,1600000,1530102,27322,510034,0,,,,,,,,,,
231,national,SE,45,10,394573,180,900000,1437762,34587,479254,0,,,,,,,,,,
232,national,GL,20,10,392660,180,900000,1902768,57819,634256,0,,,,,,,,,,
233,national,RM,4,10,392365,140,700000,2337793,48954,779264,0,,,,,,,,,,
234,national,SW,3,4,390768,410,2050000,1382049,37598,460683,0,,,,,,,,,,
235,national,RM,7,10,378009,87,435000,1192167,24964,397389,0,,,,,,,,,,
236,national,SE,18,10,373343,9,45000,1112472,16469,370824,0,,,,,,,,,,
237,national,SW,15,10,371551,300,1500000,1083459,26064,361153,0,,,,,,,,,,
238,national,GL,3,10,368043,200,1000000,1017015,24466,339005,0,,,,,,,,,,
239,national,SE,22,10,364517,170,850000,1138880,27397,379627,0,,,,,,,,,,
240,national,P,2,10,363256,170,850000,1536904,27443,512301,0,,,,,,,,,,
241,national,SE,1,10,363237,130,650000,1465573,39871,488524,0,,,,,,,,,,
242,national,SE,15,10,362053,250,1250000,1156948,17127,385649,0,,,,,,,,,,
243,national,FW,3,10,361652,9,45000,1116902,16534,372301,0,,,,,,,,,,
244,national,SE,50,10,360886,9,45000,1181466,24740,393822,0,,,,,,,,,,
245,national,GL,2,10,360552,83,415000,1557076,27803,519025,0,,,,,,,,,,
246,national,SE,36,10,358900,61,305000,1385181,33322,461727,0,,,,,,,,,,
247,national,SE,4,10,358396,130,650000,1045458,25150,348486,0,,,,,,,,,,
248,national,SE,7,10,356101,130,650000,1072455,19150,357485,0,,,,,,,,,,
249,national,P,13,10,354182,130,650000,1061629,25539,353876,0,,,,,,,,,,
250,national,SE,51,10,352838,81,405000,1106616,33627,368872,0,,,,,,,,,,
251,national,P,21,10,352596,190,950000,1563494,42535,521165,0,,,,,,,,,,
252,national,SE,32,10,349748,370,1850000,1238589,22117,412863,0,,,,,,,,,,
253,national,P,1,10,348248,190,950000,1014090,24395,338030,0,,,,,,,,,,
254,national,SE,20,10,347611,130,650000,1593698,43356,531233,0,,,,,,,,,,
255,national,P,17,10,346580,190,950000,999612,14798,333204,0,,,,,,,,,,
256,national,P,6,10,346354,190,950000,942491,28639,314164,0,,,,,,,,,,
257,national,SW,1,10,345454,100,500000,1181827,24748,393942,0,,,,,,,,,,
258,national,SW,19,10,343206,360,1800000,940331,28574,313444,0,,,,,,,,,,
259,national,P,2,10,342108,190,950000,1762309,26089,587436,0,,,,,,,,,,
260,national,P,18,10,340194,190,950000,1210338,21612,403446,0,,,,,,,,,,
261,national,SE,26,10,338416,58,290000,947970,19851,315990,0,,,,,,,,,,
262,national,GL,14,10,335871,180,900000,925532,13701,308511,0,,,,,,,,,,
263,national,SE,34,9,335865,150,750000,1369184,32938,456395,0,,,,,,,,,,
264,national,RM,6,10,328567,75,375000,1122872,34121,374291,0,,,,,,,,,,
265,national,ME,7,7,325075,8,40000,945595,19801,315198,0,,,,,,,,,,
266,national,ME,7,1,325075,8,40000,927210,28175,309070,0,,,,,,,,,,
267,national,SE,28,10,324637,96,480000,902083,18890,300694,0,,,,,,,,,,
268,national,RM,7,10,324077,55,275000,954483,25967,318161,0,,,,,,,,,,
269,national,SE,48,10,321175,95,475000,942934,22684,314311,0,,,,,,,,,,
270,national,SE,39,10,319431,8,40000,1825977,43926,608659,0,,,,,,,,,,
271,national,P,19,10,318414,170,850000,1149555,24072,383185,0,,,,,,,,,,
272,national,ME,12,9,317863,73,365000,1009628,14946,336543,0,,,,,,,,,,
273,national,ME,12,1,317863,73,365000,1004451,17936,334817,0,,,,,,,,,,
274,national,RM,4,10,317751,73,365000,969023,20292,323008,0,,,,,,,,,,
275,national,P,20,10,315713,170,850000,873091,12925,291030,0,,,,,,,,,,
276,national,SE,54,10,312837,7,35000,819471,14633,273157,0,,,,,,,,,,
277,national,SE,8,10,311312,7,35000,856289,15290,285430,0,,,,,,,,,,
278,national,SE,21,10,310645,210,1050000,1032095,28078,344032,0,,,,,,,,,,
279,national,SE,35,10,310385,110,550000,858099,26075,286033,0,,,,,,,,,,
280,national,SW,15,4,304111,250,1250000,886302,26932,295434,0,,,,,,,,,,
281,national,SW,15,6,304111,250,1250000,907821,13439,302607,0,,,,,,,,,,
282,national,SE,19,10,303722,90,450000,1067828,19067,355943,0,,,,,,,,,,
283,national,GL,12,10,303041,7,35000,896854,13277,298951,0,,,,,,,,,,
284,national,SE,24,10,301206,7,35000,857098,15304,285699,0,,,,,,,,,,
285,national,FW,3,10,300915,200,1000000,877395,12989,292465,0,,,,,,,,,,
286,national,FW,10,10,300767,51,255000,977191,20462,325730,0,,,,,,,,,,
287,national,SE,20,10,298749,160,800000,905667,27520,301889,0,,,,,,,,,,
288,national,SE,34,10,297865,140,700000,1245598,22242,415199,0,,,,,,,,,,
289,national,GL,20,10,296366,160,800000,1423534,21074,474511,0,,,,,,,,,,
290,national,ME,7,10,295081,51,255000,1032031,15278,344010,0,,,,,,,,,,
291,national,SW,9,10,291829,240,1200000,776687,11498,258896,0,,,,,,,,,,
292,national,FW,1,10,291826,87,435000,1511853,26996,503951,0,,,,,,,,,,
293,national,FW,6,10,289034,240,1200000,943593,28673,314531,0,,,,,,,,,,
294,national,P,29,10,285407,85,425000,1569639,37760,523213,0,,,,,,,,,,
295,national,SE,40,10,282468,7,35000,1049698,15540,349899,0,,,,,,,,,,
296,national,P,21,10,280505,64,320000,811984,17003,270661,0,,,,,,,,,,
297,national,SW,17,10,278831,48,240000,1328035,19660,442678,0,,,,,,,,,,
298,national,GL,21,10,278831,130,650000,1126222,16672,375407,0,,,,,,,,,,
299,national,P,4,10,277029,150,750000,708865,19285,236288,0,,,,,,,,,,
300,national,SW,16,10,274002,63,315000,1145990,31177,381997,0,,,,,,,,,,
301,national,SW,15,4,269622,220,1100000,930081,28262,310027,0,,,,,,,,,,
302,national,SE,47,10,268978,220,1100000,802225,19299,267408,0,,,,,,,,,,
303,national,P,2,10,264752,150,750000,820517,14651,273506,0,,,,,,,,,,
304,national,GL,1,10,257786,270,1350000,873503,23764,291168,0,,,,,,,,,,
305,national,GL,19,10,257376,170,850000,820505,22322,273502,0,,,,,,,,,,
306,national,GL,15,8,256337,44,220000,858025,20641,286008,0,,,,,,,,,,
307,national,ME,5,8,255260,44,220000,781793,18807,260598,0,,,,,,,,,,
308,national,SE,51,10,252548,92,460000,1151507,20561,383836,0,,,,,,,,,,
309,national,RM,9,10,252481,170,850000,899657,18839,299886,0,,,,,,,,,,
310,national,SE,39,10,252467,43,215000,695760,12424,231920,0,,,,,,,,,,
311,national,P,29,10,249287,170,850000,661962,18009,220654,0,,,,,,,,,,
312,national,P,8,10,245402,73,365000,782316,23772,260772,0,,,,,,,,,,
313,national,SE,34,9,244153,89,445000,744851,22634,248284,0,,,,,,,,,,
314,national,SE,35,10,242524,130,650000,889146,13163,296382,0,,,,,,,,,,
315,national,SW,17,10,241798,41,205000,979154,20504,326385,0,,,,,,,,,,
316,national,P,26,10,240913,160,800000,616903,16783,205634,0,,,,,,,,,,
